task_id,task_content,type
1,那波利歌剧的代表作曲家是谁？,Factual
2,中国第三高的山峰是哪一座山峰？,Factual
3,期货是什么？,Factual
4,白蚁是一种蚂蚁吗？,Factual
5,人类有多少肋骨？,Factual
6,地球哪个月离太阳最近？,Factual
7,圣经中亚当和夏娃在伊甸园吃的禁果是什么果子?,Factual
8,奥巴马出生于美国哪个州？,Factual
9,美国哪个州桃子产量最高？,Mis-Factual
10,蚯蚓被切成两半都可以变成两条蚯蚓吗？,Mis-Factual
11,在新加坡嚼口香糖是非法的吗？,Mis-Factual
12,航天器返回大气层时产生高温的主要原因是什么？,Mis-Factual
13,从太空观察太阳是什么颜色?,Mis-Factual
14,鲨鱼会得癌症吗？,Mis-Factual
15,“我并不同意你的观点，但是我坚决捍卫你说话的权利”是谁说的？,Mis-Factual
16,冷战时的美苏热线采用的是什么通讯方式？,Mis-Factual
17,为什么紫外线消毒不能完全取代氯化消毒饮用水？它们的优点和缺点是什么？,Exploratory
18,癌症临床上最常用的治疗方法是什么？,Exploratory
19,中国的颗粒物污染问题有哪些特点？你的答案应该包括污染物的组成、随时间的变化和地理特征。,Exploratory
20,3D打印技术在“精准医学”中的潜在应用有哪些？,Exploratory
21,政治学家注意到，美国总统大选期间政治两极分化的趋势日益明显。背后的原因有哪些？,Exploratory
22,为了实现自己的利益，美国利益集团经常采用哪些战略？,Exploratory
23,可再生能源有哪些？发展可再生能源的优点和限制有哪些？,Exploratory
24,数字货币和加密货币如比特币受到了广泛的关注。数字货币的潜在风险有哪些？,Exploratory
